addressID~addressLine1~addressLine2~addressLine3~addressLine4~city~CountrySubdivisionCodeId~postalCode~country~countrySubdivision~DocumentKey~LastUpdatedBy
'1'~'10 S. Riverside Plaza          1'~'Chicago IL 60606 USA          1'~'xxxxx3'~''~'test'~'0'~''~'1'~''~~
'16'~'10 S. Riverside Plaza         16'~'Chicago IL 60606 USA         16'~''~''~''~'0'~''~'0'~''~~
'17'~'10 S. Riverside Plaza         17'~'Chicago IL 60606 USA         17'~''~''~'Wakefield'~'0'~''~'76'~''~~
'18'~'10 S. Riverside Plaza         18'~'Chicago IL 60606 USA         18'~''~''~''~'0'~''~'0'~''~~
'19'~'10 S. Riverside Plaza         19'~'Chicago IL 60606 USA         19'~''~''~''~'0'~''~'0'~''~~
'20'~'10 S. Riverside Plaza         20'~'Chicago IL 60606 USA         20'~''~''~'Providence'~'0'~''~'76'~''~~
'21'~'10 S. Riverside Plaza         21'~'Chicago IL 60606 USA         21'~''~''~''~'0'~''~'0'~''~~
'22'~'10 S. Riverside Plaza         22'~'Chicago IL 60606 USA         22'~''~''~''~'0'~''~'0'~''~~
'23'~'10 S. Riverside Plaza         23'~'Chicago IL 60606 USA         23'~'ad3'~'ad3.5'~'warwick'~'1'~'02888'~'76'~'tst'~~
'24'~'10 S. Riverside Plaza         24'~'Chicago IL 60606 USA         24'~'ad3'~'ad4'~'warwick'~'1'~'02888'~'76'~''~~
'25'~'10 S. Riverside Plaza         25'~'Chicago IL 60606 USA         25'~''~''~''~'0'~''~'0'~''~~
'26'~'10 S. Riverside Plaza         26'~'Chicago IL 60606 USA         26'~''~''~''~'0'~''~'0'~''~~
'27'~'10 S. Riverside Plaza         27'~'Chicago IL 60606 USA         27'~''~''~''~'0'~''~'0'~''~~
'28'~'10 S. Riverside Plaza         28'~'Chicago IL 60606 USA         28'~''~''~''~'0'~''~'0'~''~~
'29'~'10 S. Riverside Plaza         29'~'Chicago IL 60606 USA         29'~''~''~'Wakefield'~'1'~'02879'~'76'~''~~
'30'~'10 S. Riverside Plaza         30'~'Chicago IL 60606 USA         30'~''~''~''~'0'~''~'0'~''~~
'31'~'10 S. Riverside Plaza         31'~'Chicago IL 60606 USA         31'~''~''~''~'0'~''~'0'~''~~
'32'~'10 S. Riverside Plaza         32'~'Chicago IL 60606 USA         32'~''~''~'Wakefield'~'1'~'02879'~'76'~''~~
'33'~'10 S. Riverside Plaza         33'~'Chicago IL 60606 USA         33'~''~''~''~'0'~''~'0'~''~~
'34'~'10 S. Riverside Plaza         34'~'Chicago IL 60606 USA         34'~''~''~''~'0'~''~'0'~''~~
'35'~'10 S. Riverside Plaza         35'~'Chicago IL 60606 USA         35'~''~''~'North Kingstown'~'1'~'02852'~'76'~''~~
'36'~'10 S. Riverside Plaza         36'~'Chicago IL 60606 USA         36'~''~''~''~'0'~''~'0'~''~~
'37'~'10 S. Riverside Plaza         37'~'Chicago IL 60606 USA         37'~''~''~''~'0'~''~'0'~''~~
'38'~'10 S. Riverside Plaza         38'~'Chicago IL 60606 USA         38'~''~''~'North Kingstown'~'0'~'02852'~'76'~''~~
'39'~'10 S. Riverside Plaza         39'~'Chicago IL 60606 USA         39'~''~''~''~'0'~''~'0'~''~~
'40'~'10 S. Riverside Plaza         40'~'Chicago IL 60606 USA         40'~''~''~''~'0'~''~'0'~''~~
'41'~'10 S. Riverside Plaza         41'~'Chicago IL 60606 USA         41'~''~''~'North Kingstown'~'0'~''~'64'~''~~
'42'~'10 S. Riverside Plaza         42'~'Chicago IL 60606 USA         42'~''~''~''~'0'~''~'0'~''~~
'43'~'10 S. Riverside Plaza         43'~'Chicago IL 60606 USA         43'~''~''~''~'0'~''~'0'~''~~
'44'~'10 S. Riverside Plaza         44'~'Chicago IL 60606 USA         44'~''~''~'Wakefield'~'0'~''~'76'~''~~
'45'~'10 S. Riverside Plaza         45'~'Chicago IL 60606 USA         45'~''~''~''~'0'~''~'0'~''~~
'46'~'10 S. Riverside Plaza         46'~'Chicago IL 60606 USA         46'~''~''~''~'0'~''~'0'~''~~
'47'~'10 S. Riverside Plaza         47'~'Chicago IL 60606 USA         47'~''~''~'Coventry'~'0'~'cv20 1xx'~'19'~'War'~~
'48'~'10 S. Riverside Plaza         48'~'Chicago IL 60606 USA         48'~''~''~''~'0'~''~'0'~''~~
'49'~'10 S. Riverside Plaza         49'~'Chicago IL 60606 USA         49'~''~''~''~'0'~''~'0'~''~~
'50'~'10 S. Riverside Plaza         50'~'Chicago IL 60606 USA         50'~''~''~'Coventry'~'0'~'cv20 1yy'~'12'~''~~
'51'~'10 S. Riverside Plaza         51'~'Chicago IL 60606 USA         51'~''~''~''~'0'~''~'0'~''~~
'52'~'10 S. Riverside Plaza         52'~'Chicago IL 60606 USA         52'~''~''~''~'0'~''~'0'~''~~
'53'~'10 S. Riverside Plaza         53'~'Chicago IL 60606 USA         53'~''~''~'providence'~'5'~''~'76'~''~~
'54'~'10 S. Riverside Plaza         54'~'Chicago IL 60606 USA         54'~''~''~''~'0'~''~'0'~''~~
'55'~'10 S. Riverside Plaza         55'~'Chicago IL 60606 USA         55'~''~''~''~'0'~''~'0'~''~~
'56'~'10 S. Riverside Plaza         56'~'Chicago IL 60606 USA         56'~''~''~''~'0'~''~'0'~''~~
'57'~'10 S. Riverside Plaza         57'~'Chicago IL 60606 USA         57'~''~''~''~'0'~''~'0'~''~~
'58'~'10 S. Riverside Plaza         58'~'Chicago IL 60606 USA         58'~''~''~''~'0'~''~'0'~''~~
'59'~'10 S. Riverside Plaza         59'~'Chicago IL 60606 USA         59'~''~''~''~'0'~''~'0'~''~~
'60'~'10 S. Riverside Plaza         60'~'Chicago IL 60606 USA         60'~''~''~''~'0'~''~'0'~''~~
'61'~'10 S. Riverside Plaza         61'~'Chicago IL 60606 USA         61'~''~''~''~'0'~''~'0'~''~~
'62'~'10 S. Riverside Plaza         62'~'Chicago IL 60606 USA         62'~''~''~'Wakefield'~'0'~''~'64'~''~~
'63'~'10 S. Riverside Plaza         63'~'Chicago IL 60606 USA         63'~''~''~''~'0'~''~'0'~''~~
'64'~'10 S. Riverside Plaza         64'~'Chicago IL 60606 USA         64'~''~''~''~'0'~''~'0'~''~~
'65'~'10 S. Riverside Plaza         65'~'Chicago IL 60606 USA         65'~''~''~'NK'~'0'~''~'68'~''~~
'66'~'10 S. Riverside Plaza         66'~'Chicago IL 60606 USA         66'~''~''~''~'0'~''~'0'~''~~
'67'~'10 S. Riverside Plaza         67'~'Chicago IL 60606 USA         67'~''~''~''~'0'~''~'0'~''~~
'68'~'10 S. Riverside Plaza         68'~'Chicago IL 60606 USA         68'~''~''~'nk'~'0'~''~'72'~''~~
'69'~'10 S. Riverside Plaza         69'~'Chicago IL 60606 USA         69'~''~''~''~'0'~''~'0'~''~~
'70'~'10 S. Riverside Plaza         70'~'Chicago IL 60606 USA         70'~''~''~''~'0'~''~'0'~''~~
'71'~'10 S. Riverside Plaza         71'~'Chicago IL 60606 USA         71'~''~''~'warwick'~'40'~''~'76'~''~~
'72'~'10 S. Riverside Plaza         72'~'Chicago IL 60606 USA         72'~''~''~''~'0'~''~'0'~''~~
'73'~'10 S. Riverside Plaza         73'~'Chicago IL 60606 USA         73'~''~''~''~'0'~''~'0'~''~~
'74'~'10 S. Riverside Plaza         74'~'Chicago IL 60606 USA         74'~''~''~'Aurora'~'0'~'60505'~'76'~''~~
'75'~'10 S. Riverside Plaza         75'~'Chicago IL 60606 USA         75'~''~''~''~'0'~''~'0'~''~~
'76'~'10 S. Riverside Plaza         76'~'Chicago IL 60606 USA         76'~''~''~''~'0'~''~'0'~''~~
'77'~'10 S. Riverside Plaza         77'~'Chicago IL 60606 USA         77'~''~''~'Toledo'~'0'~'45007'~'31'~''~~
'78'~'10 S. Riverside Plaza         78'~'Chicago IL 60606 USA         78'~''~''~''~'0'~''~'0'~''~~
'79'~'10 S. Riverside Plaza         79'~'Chicago IL 60606 USA         79'~''~''~''~'0'~''~'0'~''~~
'80'~'10 S. Riverside Plaza         80'~'Chicago IL 60606 USA         80'~''~''~'Duisburg'~'0'~'47228'~'37'~''~~
'81'~'10 S. Riverside Plaza         81'~'Chicago IL 60606 USA         81'~''~''~'Duisburg  - Rheinhausen'~'0'~'47228'~'37'~''~~
'82'~'10 S. Riverside Plaza         82'~'Chicago IL 60606 USA         82'~''~''~''~'0'~''~'0'~''~~
'83'~'10 S. Riverside Plaza         83'~'Chicago IL 60606 USA         83'~''~''~''~'0'~''~'76'~''~~
'84'~'10 S. Riverside Plaza         84'~'Chicago IL 60606 USA         84'~''~''~''~'0'~''~'0'~''~~
'85'~'10 S. Riverside Plaza         85'~'Chicago IL 60606 USA         85'~''~''~''~'0'~''~'0'~''~~
'86'~'10 S. Riverside Plaza         86'~'Chicago IL 60606 USA         86'~''~''~'Rosemont'~'0'~'60018'~'76'~''~~
'87'~'10 S. Riverside Plaza         87'~'Chicago IL 60606 USA         87'~''~''~'Rosemont'~'0'~'60018'~'76'~''~~
'88'~'10 S. Riverside Plaza         88'~'Chicago IL 60606 USA         88'~''~''~''~'0'~''~'0'~''~~
'89'~'10 S. Riverside Plaza         89'~'Chicago IL 60606 USA         89'~''~'Middlesex '~'Staines'~'0'~'TW18 4JD '~'19'~''~~
'90'~'10 S. Riverside Plaza         90'~'Chicago IL 60606 USA         90'~''~''~''~'0'~''~'0'~''~~
'91'~'10 S. Riverside Plaza         91'~'Chicago IL 60606 USA         91'~''~''~''~'0'~''~'0'~''~~
'92'~'10 S. Riverside Plaza         92'~'Chicago IL 60606 USA         92'~''~''~'Lisle'~'0'~'60532-3653'~'76'~''~~
'93'~'10 S. Riverside Plaza         93'~'Chicago IL 60606 USA         93'~''~''~''~'0'~''~'0'~''~~
'94'~'10 S. Riverside Plaza         94'~'Chicago IL 60606 USA         94'~''~''~''~'0'~''~'0'~''~~
'95'~'10 S. Riverside Plaza         95'~'Chicago IL 60606 USA         95'~''~''~'San Antonio'~'0'~'78204'~'76'~''~~
'96'~'10 S. Riverside Plaza         96'~'Chicago IL 60606 USA         96'~''~''~'San Antonio'~'0'~'78291'~'76'~''~~
'97'~'10 S. Riverside Plaza         97'~'Chicago IL 60606 USA         97'~''~''~''~'0'~''~'0'~''~~
'98'~'10 S. Riverside Plaza         98'~'Chicago IL 60606 USA         98'~''~''~'Unterhaching'~'0'~'82002'~'37'~''~~
'99'~'10 S. Riverside Plaza         99'~'Chicago IL 60606 USA         99'~''~''~''~'0'~''~'0'~''~~
'100'~'10 S. Riverside Plaza        100'~'Chicago IL 60606 USA        100'~''~''~''~'0'~''~'0'~''~~
'101'~'10 S. Riverside Plaza        101'~'Chicago IL 60606 USA        101'~''~''~'Dingolfing'~'0'~'84130'~'37'~''~~
'102'~'10 S. Riverside Plaza        102'~'Chicago IL 60606 USA        102'~''~''~''~'0'~''~'0'~''~~
'103'~'10 S. Riverside Plaza        103'~'Chicago IL 60606 USA        103'~''~''~''~'0'~''~'0'~''~~
'104'~'10 S. Riverside Plaza        104'~'Chicago IL 60606 USA        104'~''~''~'Unterhaching'~'0'~'82001'~'37'~''~~
'105'~'10 S. Riverside Plaza        105'~'Chicago IL 60606 USA        105'~''~''~''~'0'~''~'0'~''~~
'106'~'10 S. Riverside Plaza        106'~'Chicago IL 60606 USA        106'~''~''~''~'0'~''~'0'~''~~
'107'~'10 S. Riverside Plaza        107'~'Chicago IL 60606 USA        107'~''~''~'BANBURY'~'0'~'OX16 3JU'~'19'~''~~
'108'~'10 S. Riverside Plaza        108'~'Chicago IL 60606 USA        108'~''~''~''~'0'~''~'0'~''~~
'109'~'10 S. Riverside Plaza        109'~'Chicago IL 60606 USA        109'~''~''~''~'0'~''~'0'~''~~
'110'~'10 S. Riverside Plaza        110'~'Chicago IL 60606 USA        110'~''~''~'Wombourne'~'0'~''~'19'~''~~
'111'~'10 S. Riverside Plaza        111'~'Chicago IL 60606 USA        111'~''~''~'Wombourne'~'0'~''~'19'~''~~
'112'~'10 S. Riverside Plaza        112'~'Chicago IL 60606 USA        112'~''~''~''~'0'~''~'0'~''~~
'113'~'10 S. Riverside Plaza        113'~'Chicago IL 60606 USA        113'~''~''~'Thetford, Norfolk'~'0'~'IP26 4RH'~'19'~''~~
'114'~'10 S. Riverside Plaza        114'~'Chicago IL 60606 USA        114'~''~''~''~'0'~''~'0'~''~~
'115'~'10 S. Riverside Plaza        115'~'Chicago IL 60606 USA        115'~''~''~''~'0'~''~'0'~''~~
'116'~'10 S. Riverside Plaza        116'~'Chicago IL 60606 USA        116'~''~''~'Nijkerk'~'0'~''~'29'~''~~
'117'~'10 S. Riverside Plaza        117'~'Chicago IL 60606 USA        117'~''~''~'Nijkerk'~'0'~'3860'~'29'~''~~
'118'~'10 S. Riverside Plaza        118'~'Chicago IL 60606 USA        118'~''~''~''~'0'~''~'0'~''~~
'119'~'10 S. Riverside Plaza        119'~'Chicago IL 60606 USA        119'~''~''~'Olen'~'0'~'2250'~'21'~''~~
'120'~'10 S. Riverside Plaza        120'~'Chicago IL 60606 USA        120'~''~''~'Olen'~'0'~'2250'~'21'~''~~
'121'~'10 S. Riverside Plaza        121'~'Chicago IL 60606 USA        121'~''~''~''~'0'~''~'0'~''~~
'122'~'10 S. Riverside Plaza        122'~'Chicago IL 60606 USA        122'~''~''~'Basingstoke, Hants.'~'0'~'RG21 6XP'~'19'~''~~
'123'~'10 S. Riverside Plaza        123'~'Chicago IL 60606 USA        123'~''~''~'Basingstoke, Hants.'~'0'~'RG21 6XP'~'19'~''~~
'124'~'10 S. Riverside Plaza        124'~'Chicago IL 60606 USA        124'~''~''~''~'0'~''~'0'~''~~
'125'~'10 S. Riverside Plaza        125'~'Chicago IL 60606 USA        125'~''~'Lancas'~'Heywood'~'0'~'OL10 2TN'~'19'~''~~
'126'~'10 S. Riverside Plaza        126'~'Chicago IL 60606 USA        126'~''~'Lancas'~'Heywood'~'0'~'OL10 2TN'~'19'~''~~
'127'~'10 S. Riverside Plaza        127'~'Chicago IL 60606 USA        127'~''~''~''~'0'~''~'0'~''~~
'128'~'10 S. Riverside Plaza        128'~'Chicago IL 60606 USA        128'~''~''~'Warszawa'~'0'~'03-308'~'40'~''~~
'129'~'10 S. Riverside Plaza        129'~'Chicago IL 60606 USA        129'~''~''~''~'0'~''~'0'~''~~
'130'~'10 S. Riverside Plaza        130'~'Chicago IL 60606 USA        130'~''~''~''~'0'~''~'0'~''~~
'131'~'10 S. Riverside Plaza        131'~'Chicago IL 60606 USA        131'~''~''~'FLEUREY-SUR-OUCHE'~'0'~'21410'~'22'~''~~
'132'~'10 S. Riverside Plaza        132'~'Chicago IL 60606 USA        132'~''~''~''~'0'~''~'0'~''~~
'133'~'10 S. Riverside Plaza        133'~'Chicago IL 60606 USA        133'~''~''~''~'0'~''~'0'~''~~
'134'~'10 S. Riverside Plaza        134'~'Chicago IL 60606 USA        134'~''~''~'Wien'~'0'~'1110'~'33'~''~~
'135'~'10 S. Riverside Plaza        135'~'Chicago IL 60606 USA        135'~''~''~'Wien'~'0'~'1110'~'33'~''~~
'136'~'10 S. Riverside Plaza        136'~'Chicago IL 60606 USA        136'~''~''~''~'0'~''~'0'~''~~
'137'~'10 S. Riverside Plaza        137'~'Chicago IL 60606 USA        137'~''~''~'Kanash'~'0'~'429336'~'11'~'Chu'~~
'138'~'10 S. Riverside Plaza        138'~'Chicago IL 60606 USA        138'~''~''~''~'0'~''~'0'~''~~
'139'~'10 S. Riverside Plaza        139'~'Chicago IL 60606 USA        139'~''~''~''~'0'~''~'0'~''~~
'140'~'10 S. Riverside Plaza        140'~'Chicago IL 60606 USA        140'~''~''~'Heywood, Lancs.'~'0'~'OL10 2TN'~'19'~''~~
'141'~'10 S. Riverside Plaza        141'~'Chicago IL 60606 USA        141'~''~''~''~'0'~''~'0'~''~~
'142'~'10 S. Riverside Plaza        142'~'Chicago IL 60606 USA        142'~''~''~''~'0'~''~'0'~''~~
'143'~'10 S. Riverside Plaza        143'~'Chicago IL 60606 USA        143'~''~''~'Olen'~'0'~'2250'~'21'~''~~
'144'~'10 S. Riverside Plaza        144'~'Chicago IL 60606 USA        144'~''~''~''~'0'~''~'0'~''~~
'145'~'10 S. Riverside Plaza        145'~'Chicago IL 60606 USA        145'~''~''~''~'0'~''~'0'~''~~
'146'~'10 S. Riverside Plaza        146'~'Chicago IL 60606 USA        146'~''~''~'Günzburg'~'0'~'89312'~'37'~''~~
'147'~'10 S. Riverside Plaza        147'~'Chicago IL 60606 USA        147'~''~''~'Günzburg'~'0'~'89312'~'37'~''~~
'148'~'10 S. Riverside Plaza        148'~'Chicago IL 60606 USA        148'~''~''~''~'0'~''~'0'~''~~
'149'~'10 S. Riverside Plaza        149'~'Chicago IL 60606 USA        149'~''~''~'Toledo'~'0'~'45007'~'31'~''~~
'150'~'10 S. Riverside Plaza        150'~'Chicago IL 60606 USA        150'~''~''~'Toledo'~'0'~'45007'~'31'~''~~
'151'~'10 S. Riverside Plaza        151'~'Chicago IL 60606 USA        151'~''~''~''~'0'~''~'0'~''~~
'152'~'10 S. Riverside Plaza        152'~'Chicago IL 60606 USA        152'~''~''~'Enns'~'0'~'4470'~'33'~''~~
'153'~'10 S. Riverside Plaza        153'~'Chicago IL 60606 USA        153'~''~''~'Enns'~'0'~'4470'~'33'~''~~
'154'~'10 S. Riverside Plaza        154'~'Chicago IL 60606 USA        154'~''~''~''~'0'~''~'0'~''~~
'155'~'10 S. Riverside Plaza        155'~'Chicago IL 60606 USA        155'~''~''~'warwick'~'10'~'02886'~'76'~''~'7991801F-C228-4F6A-AAC9-43E7AEF3C442'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'156'~'10 S. Riverside Plaza        156'~'Chicago IL 60606 USA        156'~''~''~''~'0'~''~'0'~''~'7991801F-C228-4F6A-AAC9-43E7AEF3C442'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'157'~'10 S. Riverside Plaza        157'~'Chicago IL 60606 USA        157'~''~''~''~'0'~''~'0'~''~'7991801F-C228-4F6A-AAC9-43E7AEF3C442'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'158'~'10 S. Riverside Plaza        158'~'Chicago IL 60606 USA        158'~''~''~'providence'~'0'~''~'45'~''~'5B6D29D8-79B4-46F0-BA02-0BE0DFF43ACD'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'159'~'10 S. Riverside Plaza        159'~'Chicago IL 60606 USA        159'~''~''~''~'0'~''~'0'~''~'5B6D29D8-79B4-46F0-BA02-0BE0DFF43ACD'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'160'~'10 S. Riverside Plaza        160'~'Chicago IL 60606 USA        160'~''~''~''~'0'~''~'0'~''~'5B6D29D8-79B4-46F0-BA02-0BE0DFF43ACD'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'161'~'10 S. Riverside Plaza        161'~'Chicago IL 60606 USA        161'~''~'test'~'toronto'~'0'~''~'72'~''~'0446E21D-C5FE-43FF-9AFF-69BBE1500220'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'162'~'10 S. Riverside Plaza        162'~'Chicago IL 60606 USA        162'~''~''~''~'0'~''~'0'~''~'0446E21D-C5FE-43FF-9AFF-69BBE1500220'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'163'~'10 S. Riverside Plaza        163'~'Chicago IL 60606 USA        163'~''~''~''~'0'~''~'0'~''~'0446E21D-C5FE-43FF-9AFF-69BBE1500220'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'164'~'10 S. Riverside Plaza        164'~'Chicago IL 60606 USA        164'~''~''~'east greenwich'~'0'~''~'3'~''~'B3273F7F-1EFE-4244-BC97-92F0964D8175'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'165'~'10 S. Riverside Plaza        165'~'Chicago IL 60606 USA        165'~''~''~''~'0'~''~'0'~''~'B3273F7F-1EFE-4244-BC97-92F0964D8175'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'166'~'10 S. Riverside Plaza        166'~'Chicago IL 60606 USA        166'~''~''~''~'0'~''~'0'~''~'B3273F7F-1EFE-4244-BC97-92F0964D8175'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'167'~'10 S. Riverside Plaza        167'~'Chicago IL 60606 USA        167'~''~''~'nothing'~'0'~''~'71'~''~'7DFC5C84-CD0A-4C38-92AD-455F4AE13E1F'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'168'~'10 S. Riverside Plaza        168'~'Chicago IL 60606 USA        168'~''~''~''~'0'~''~'0'~''~'7DFC5C84-CD0A-4C38-92AD-455F4AE13E1F'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'169'~'10 S. Riverside Plaza        169'~'Chicago IL 60606 USA        169'~''~''~''~'0'~''~'0'~''~'7DFC5C84-CD0A-4C38-92AD-455F4AE13E1F'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'170'~'10 S. Riverside Plaza        170'~'Chicago IL 60606 USA        170'~''~''~'London'~'1638'~'L67 7RT'~'19'~''~'E464EAFC-7770-4137-9BBC-740782DD098B'~'EE941B63-32EA-48F8-BA3F-49D0D0EE5F6D'
'171'~'10 S. Riverside Plaza        171'~'Chicago IL 60606 USA        171'~''~''~''~'0'~''~'0'~''~'E464EAFC-7770-4137-9BBC-740782DD098B'~'EE941B63-32EA-48F8-BA3F-49D0D0EE5F6D'
'172'~'10 S. Riverside Plaza        172'~'Chicago IL 60606 USA        172'~''~''~''~'0'~''~'0'~''~'E464EAFC-7770-4137-9BBC-740782DD098B'~'EE941B63-32EA-48F8-BA3F-49D0D0EE5F6D'
'173'~'10 S. Riverside Plaza        173'~'Chicago IL 60606 USA        173'~''~''~'warwic'~'0'~''~'81'~''~'1275147C-3389-4837-8DDF-E56497A19B61'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'174'~'10 S. Riverside Plaza        174'~'Chicago IL 60606 USA        174'~'addr 3'~'addr 4'~'test'~'18'~'00099'~'76'~'tes'~'1275147C-3389-4837-8DDF-E56497A19B61'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'175'~'10 S. Riverside Plaza        175'~'Chicago IL 60606 USA        175'~''~''~''~'0'~''~'0'~''~'1275147C-3389-4837-8DDF-E56497A19B61'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'176'~'10 S. Riverside Plaza        176'~'Chicago IL 60606 USA        176'~''~''~'Coventry'~'1565'~'cv20 1xx'~'19'~''~'6A69FED3-5AED-42D6-BF8C-323BB02904AD'~'220F3987-6756-4274-9F1A-02F81C889E88'
'177'~'10 S. Riverside Plaza        177'~'Chicago IL 60606 USA        177'~''~''~''~'0'~''~'0'~''~'6A69FED3-5AED-42D6-BF8C-323BB02904AD'~'220F3987-6756-4274-9F1A-02F81C889E88'
'178'~'10 S. Riverside Plaza        178'~'Chicago IL 60606 USA        178'~''~''~''~'0'~''~'0'~''~'6A69FED3-5AED-42D6-BF8C-323BB02904AD'~'220F3987-6756-4274-9F1A-02F81C889E88'
'179'~'10 S. Riverside Plaza        179'~'Chicago IL 60606 USA        179'~''~''~''~'0'~''~'0'~''~'5F37917B-B6B3-4035-8D77-6D5732EDFB3E'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'180'~'10 S. Riverside Plaza        180'~'Chicago IL 60606 USA        180'~''~''~''~'0'~''~'0'~''~'5F37917B-B6B3-4035-8D77-6D5732EDFB3E'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'181'~'10 S. Riverside Plaza        181'~'Chicago IL 60606 USA        181'~''~''~''~'0'~''~'0'~''~'5F37917B-B6B3-4035-8D77-6D5732EDFB3E'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'182'~'10 S. Riverside Plaza        182'~'Chicago IL 60606 USA        182'~''~''~'London'~'0'~''~'19'~''~'8A8E3A14-9926-4780-B96F-4CA52879528C'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'183'~'10 S. Riverside Plaza        183'~'Chicago IL 60606 USA        183'~''~''~''~'0'~''~'0'~''~'8A8E3A14-9926-4780-B96F-4CA52879528C'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'184'~'10 S. Riverside Plaza        184'~'Chicago IL 60606 USA        184'~''~''~''~'0'~''~'0'~''~'8A8E3A14-9926-4780-B96F-4CA52879528C'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'185'~'10 S. Riverside Plaza        185'~'Chicago IL 60606 USA        185'~''~''~''~'0'~''~'0'~''~'2C0966E5-1C54-43BD-8600-FC4913A7CD66'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'186'~'10 S. Riverside Plaza        186'~'Chicago IL 60606 USA        186'~''~''~''~'0'~''~'0'~''~'2C0966E5-1C54-43BD-8600-FC4913A7CD66'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'187'~'10 S. Riverside Plaza        187'~'Chicago IL 60606 USA        187'~''~''~''~'0'~''~'0'~''~'2C0966E5-1C54-43BD-8600-FC4913A7CD66'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'188'~'10 S. Riverside Plaza        188'~'Chicago IL 60606 USA        188'~''~''~'test'~'0'~''~'1'~''~'35D8A44F-13B9-4501-8063-0A6FBDE8F36F'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'189'~'10 S. Riverside Plaza        189'~'Chicago IL 60606 USA        189'~''~''~''~'0'~''~'0'~''~'35D8A44F-13B9-4501-8063-0A6FBDE8F36F'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'190'~'10 S. Riverside Plaza        190'~'Chicago IL 60606 USA        190'~''~''~''~'0'~''~'0'~''~'35D8A44F-13B9-4501-8063-0A6FBDE8F36F'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
